"Gov","Tax","GDP"
5.44825,5.85665,7.53358
5.51639,5.83983,7.51959
5.57626,5.79731,7.51593
5.59246,5.78464,7.52709
5.58489,5.75234,7.51766
5.56759,5.71104,7.55728
5.58193,5.93469,7.58726
5.55396,6.08768,7.62564
5.6228,6.14516,7.64309
5.75744,6.24264,7.65564
5.88887,6.19724,7.6721
6.014,6.18478,7.69183
6.07358,6.22836,7.69352
6.09268,6.23967,7.70353
6.13854,6.23791,7.70463
6.15117,6.23285,7.71131
6.17523,6.27488,7.74381
6.2011,6.29824,7.76235
6.22368,6.30504,7.76989
6.19923,6.2926,7.76379
6.19715,6.22191,7.74783
6.16759,6.19172,7.74305
6.13074,6.18642,7.7443
6.11118,6.19581,7.75551
6.10866,6.21809,7.77534
6.11017,6.27796,7.80374
6.11279,6.30069,7.82015
6.12284,6.3187,7.83342
6.10163,6.3378,7.83899
6.10649,6.34586,7.83442
6.13466,6.35603,7.84225
6.12208,6.34471,7.84099
6.14861,6.37274,7.8572
6.18041,6.39408,7.86333
6.17472,6.37571,7.86091
6.18098,6.3689,7.8705
6.20202,6.32432,7.85992
6.1913,6.26977,7.83248
6.22699,6.24855,7.8386
6.23643,6.28578,7.86176
6.26398,6.33562,7.88481
6.24867,6.4069,7.90483
6.26004,6.44531,7.92977
6.26301,6.43508,7.92858
6.24735,6.43786,7.93208
6.22628,6.53957,7.95427
6.23377,6.52672,7.94958
6.26756,6.51582,7.95121
6.27943,6.49554,7.93831
6.29305,6.48941,7.94423
6.29801,6.50516,7.96277
6.31864,6.52382,7.9788
6.34713,6.56171,7.99895
6.37068,6.5804,8.01673
6.37713,6.59741,8.02771
6.40175,6.61459,8.03691
6.40685,6.62013,8.03934
6.40317,6.64815,8.05232
6.40218,6.67641,8.06478
6.44592,6.69025,8.08343
6.44648,6.69834,8.091
6.45265,6.68836,8.1132
6.46055,6.67208,8.12462
6.46759,6.69342,8.13812
6.46063,6.70513,8.14089
6.45875,6.73749,8.16515
6.47236,6.75439,8.17863
6.51656,6.72928,8.19872
6.54893,6.76132,8.22256
6.57024,6.84449,8.24681
6.58747,6.8677,8.25013
6.62632,6.87513,8.25669
6.64047,6.87038,8.26475
6.68825,6.86848,8.27353
6.68689,6.87228,8.27373
6.70011,6.88755,8.28168
6.71275,6.90748,8.28928
6.7316,6.94944,8.30968
6.73796,6.95763,8.32652
6.74447,7.00216,8.33333
6.74758,7.01436,8.33766
6.74537,7.05895,8.35329
6.74451,7.06525,8.35619
6.75594,7.0527,8.3625
6.74147,7.05132,8.35779
6.7495,7.02087,8.35622
6.73622,6.9805,8.35803
6.74969,6.96803,8.3669
6.75042,6.94263,8.35623
6.74628,6.96633,8.38344
6.74877,6.9489,8.38909
6.75257,6.95394,8.39704
6.7519,6.96662,8.39982
6.77503,7.04477,8.41754
6.78686,7.06384,8.44098
6.76663,7.07171,8.45052
6.7826,7.0664,8.46686
6.80099,7.14388,8.49211
6.79575,7.14278,8.50362
6.77884,7.14187,8.49827
6.78953,7.15211,8.50776
6.81333,7.15845,8.49895
6.82419,7.15824,8.50151
6.82619,7.15384,8.49157
6.83147,7.09898,8.48763
6.84314,7.03727,8.47539
6.83905,6.89878,8.483
6.85695,7.01474,8.49971
6.87068,7.02681,8.51269
6.87535,7.07661,8.53516
6.86635,7.09881,8.54266
6.85923,7.09924,8.54754
6.86119,7.10446,8.55478
6.87411,7.13961,8.56632
6.88507,7.1681,8.586
6.8849,7.17211,8.60372
6.88811,7.18714,8.60352
6.88484,7.20783,8.60693
6.9083,7.26196,8.64551
6.9136,7.26286,8.65527
6.9223,7.28597,8.66841
6.91355,7.31541,8.67008
6.92004,7.31036,8.67102
6.92855,7.3011,8.67818
6.94524,7.30127,8.68093
6.96431,7.30613,8.68414
6.97011,7.27233,8.66343
6.95311,7.24992,8.66157
6.95999,7.28172,8.6799
6.97235,7.34682,8.70047
6.97364,7.34597,8.69246
6.96263,7.33977,8.70453
6.97852,7.31606,8.692
6.97781,7.30504,8.67545
6.98483,7.29912,8.68085
6.99001,7.2625,8.67699
7.01365,7.24362,8.67778
7.01952,7.26059,8.69014
7.02999,7.2982,8.71237
7.04663,7.30675,8.7319
7.02521,7.33437,8.75236
7.05185,7.38937,8.77157
7.07559,7.4065,8.78868
7.0828,7.41373,8.79836
7.10486,7.42829,8.80646
7.11858,7.47959,8.81586
7.14153,7.45008,8.82429
7.1671,7.48693,8.83979
7.17599,7.49683,8.84735
7.18316,7.51307,8.85691
7.20196,7.5066,8.86092
7.22446,7.51801,8.87052
7.21817,7.54304,8.87534
7.22203,7.54135,8.88087
7.22877,7.60358,8.89144
7.22787,7.59194,8.90008
7.23636,7.60538,8.91705
7.23022,7.61994,8.9222
7.23068,7.62635,8.93497
7.22106,7.63735,8.94012
7.23956,7.65243,8.95338
7.23443,7.67449,8.96273
7.24778,7.66943,8.97018
7.2563,7.66899,8.97808
7.26038,7.66618,8.98026
7.27943,7.66808,8.99065
7.27819,7.66548,8.99462
7.27765,7.6706,8.9946
7.2962,7.66259,8.9858
7.2968,7.63759,8.98095
7.29576,7.62683,8.98767
7.28922,7.62957,8.99188
7.28375,7.62114,8.99579
7.29373,7.61776,9.00671
7.29377,7.62028,9.01728
7.30093,7.61905,9.02754
7.29746,7.63854,9.03801
7.28623,7.61802,9.03985
7.28609,7.64891,9.04622
7.28561,7.6494,9.05147
7.29069,7.68633,9.06459
7.27799,7.68299,9.07428
7.28512,7.71104,9.08787
7.3041,7.72112,9.09429
7.29606,7.72638,9.10533
7.30257,7.73244,9.10778
7.30657,7.73892,9.10993
7.30341,7.74762,9.1183
7.29507,7.76176,9.12525
7.30876,7.77032,9.13207
7.31781,7.79447,9.14921
7.31631,7.80488,9.15788
7.3275,7.8325,9.16873
7.33213,7.83954,9.17639
7.33821,7.85774,9.19111
7.33895,7.88139,9.20358
7.34319,7.89393,9.21123
7.33559,7.91315,9.22063
7.35943,7.92866,9.22958
7.37043,7.94714,9.24269
7.38276,7.96483,9.25985
7.39369,7.97346,9.26872
7.40408,7.9831,9.27651
7.42399,7.99752,9.28914
7.44599,8.02091,9.30695
7.44288,8.05654,9.30956
7.45681,8.05499,9.32887
7.45782,8.05398,9.32971
7.46533,8.05533,9.33561
7.48256,8.05354,9.33231
7.50296,8.03309,9.33884
7.50107,7.94705,9.3361
7.51946,7.96614,9.33962
7.54406,7.90349,9.34818
7.55687,7.88942,9.35347
7.5671,7.89092,9.35845
7.58035,7.8853,9.35866
7.5944,7.88631,9.3627
7.60998,7.8867,9.37065
7.61282,7.86073,9.38727
7.61261,7.90524,9.39622
7.6258,7.90458,9.40324
7.63218,7.91492,9.41032
7.63971,7.94156,9.41764
7.63886,7.95524,9.42628
7.64894,8.00599,9.43621
7.65359,8.00886,9.44046
7.66714,8.0239,9.44803
7.66529,8.04225,9.45318
7.68201,8.07513,9.46622
7.68638,8.0731,9.46981
7.6868,8.07616,9.47008
7.68951,8.08455,9.47736
7.69552,8.09269,9.48036
7.71188,8.09584,9.48827
7.72412,8.08888,9.49711
7.73576,8.09142,9.50236
7.75317,8.05472,9.50053
7.77355,7.94271,9.50415
7.78646,7.99324,9.49737
7.77089,7.95664,9.48356
